Priority,Platform,Status,Who it is for,Account needed,Credentials required,Still missing,Cost,Where to get it,Steps,Watch out for,Ownership tier,Link authority
P1 - do first,Blogger,NOT CONNECTED,agnostic,One account per CLIENT,"oauth_token, blog_id","oauth_token, blog_id",Free,https://console.cloud.google.com/ (Blogger API v3) + https://www.blogger.com/,1) Google Cloud project -> enable 'Blogger API v3'. 2) OAuth consent screen -> add scope https://www.googleapis.com/auth/blogger. 3) Create an OAuth client (Desktop or Web). 4) Run the consent flow as the account that owns the blog; keep the REFRESH token. 5) Give us: oauth_token + blog_id (the long number in the Blogger dashboard URL).,"THE BIG ONE. While the consent screen is in 'Testing', Google expires the refresh token after 7 DAYS - publishing silently dies every week. Moving the app to 'Production' requires Google verification. Budget for that review, or accept re-authorising every client weekly. We hold app client_id/secret already; what is missing is a per-blog token.",per_client,high
P1 - do first,Tumblr,NOT CONNECTED,agnostic,One account per CLIENT,"oauth_token, blog","oauth_token, blog",Free,https://www.tumblr.com/oauth/apps,1) Register an application (a valid OAuth2 redirect URL is required). 2) Note consumer key + secret. 3) Authorise as the client's Tumblr account with scopes: basic write offline_access. 4) Give us: oauth_token + blog (e.g. clientblog.tumblr.com).,"Request 'offline_access' or the token cannot be refreshed and posting stops when it expires. Tumblr's API License also requires a per-post human action, which our approval step already satisfies.",per_client,high
P1 - do first,WordPress.com,NOT CONNECTED,agnostic,One account per CLIENT,"oauth_token, site","oauth_token, site",Free,https://developer.wordpress.com/apps/,"1) Create an application (any title; set a Redirect URL you control). 2) Note the client_id + client_secret. 3) Run the OAuth2 authorize flow SIGNED IN AS THE CLIENT'S WordPress.com account, approving the target blog. 4) Exchange the code for an access_token. 5) Give us: oauth_token + site (the blog's slug, e.g. clientname.wordpress.com).","The token is minted for the account that approves it, so the CLIENT (or you acting on a blog you created for them) must complete the consent step - the app credentials alone cannot post.",per_client,high
P2 - nearly there,GitHub Pages,INCOMPLETE,developer,One account per CLIENT,"token, owner, repo","token, owner, repo",Free,https://github.com/settings/personal-access-tokens,1) Create a fine-grained PAT scoped to the client's repo with Contents: Read+Write and Pages: Read+Write. 2) Create the repo and enable Pages if it does not exist. 3) Give us: token + owner + repo.,"We hold a token already; owner + repo are missing, so nothing can publish yet.",per_client,high
P2 - nearly there,GitLab Pages,INCOMPLETE,developer,One account per CLIENT,"token, project_id","token, project_id",Free,https://gitlab.com/-/user_settings/personal_access_tokens,1) Create a PAT with the 'api' scope. 2) Take the numeric Project ID from the project's home page. 3) Give us: token + project_id.,"Pages only appear after CI runs, so a placement is not live the instant the API accepts it. We hold a token; project_id is missing.",per_client,medium
P3,Figshare,NOT CONNECTED,research,One account per CLIENT,access_token,access_token,Free,https://figshare.com/account/applications,Account -> Applications -> Create personal token. Give us: token.,As with Zenodo: a published item is permanent and citable.,per_client,high
P3,Zenodo,NOT CONNECTED,research,One account per CLIENT (or the client's institution),access_token,access_token,Free,https://zenodo.org/account/settings/applications/tokens/new/,Create a personal access token with deposit:write (and deposit:actions). Give us: access_token.,"A Zenodo record is a permanent, citable research artefact with a DOI - it cannot be quietly deleted later. Only use it for clients with genuine research or data output.",per_client,high
P4,Codeberg Pages,NOT CONNECTED,developer,One account per CLIENT,"token, owner, repo","token, owner, repo",Free,https://codeberg.org/user/settings/applications,1) Settings -> Applications -> Generate a token with repository write access. 2) Create the 'pages' repo for the client. 3) Give us: token + owner + repo.,,per_client,medium
P4,HackMD,NOT CONNECTED,developer,One account per CLIENT,token,token,Free,https://hackmd.io/settings#api,Settings -> API -> create an API token. Give us: token.,,per_client,medium
P4,Neocities,NOT CONNECTED,developer,One account per CLIENT,"api_key, sitename","api_key, sitename",Free,https://neocities.org/settings,"1) Create the site (free tier is fine: 1 GB, 200 GB/month). 2) Settings -> Manage Site Settings -> API key. 3) Give us: api_key.",,per_client,medium
P4,Netlify,NOT CONNECTED,developer,One account per CLIENT,"api_token, site_id","api_token, site_id",Free,https://app.netlify.com/user/applications#personal-access-tokens,1) User settings -> Applications -> New access token. 2) Create the site (or take an existing one) and copy its Site ID from Site configuration. 3) Give us: token + site_id.,,per_client,medium
P4,OSF,NOT CONNECTED,research,One account per CLIENT,access_token,access_token,Free,https://osf.io/settings/tokens,Settings -> Personal access tokens -> create with osf.full_write. Give us: token.,Academic-integrity norms apply; only for genuinely research-adjacent clients.,per_client,medium
